子供{{c1::あっての}}我が家、子供がいなかったら、即離婚だな。	あっての<br>あればの<br>あったの<br>あるべき
とにかく事実を{{c1::確かめない}}ことには。うわさだけで心配していても始まらない。	確かめない<br>確かめる<br>確かめよう<br>確かめた
消費税の値上げに{{c1::ともなって}}、物価もまた上がるだろう。	ともなって<br>ついて<br>そって<br>おいて
色々と迷った{{c1::末に}}、就職しないで留学することを決意した。	末に<br>反面<br>ところ<br>が最後
貧しい生活の中で私は大学に行く{{c1::どころではなく}}、親の仕事を手伝っていた。	どころではなく<br>ばかりか<br>か行くまいか<br>までもなく
世界中の数学者{{c1::ですら}}解けなかった問題だよ。どうして君なんかに解けるものか。	ですら<br>だからこそ<br>にせよ<br>こそ
イギリスの文学は、シェイクスピアぬきには{{c1::語りえない}}。	語りえない<br>語らない<br>語ったことがない<br>語りかねない
医者にしたって、必ずしも自分の健康に気をつけている{{c1::とはかぎらない}}。	とはかぎらない<br>はずがない<br>わけがない<br>といえなくもない
あのレストランの料理ときたら、値段が高いばかりで{{c1::すすめられたものではない}}。	すすめられたものではない<br>すすめたことがない<br>ぜひすすめてみるべきだ<br>すすめないでいられない
あなたの命を救ったのは、御主人であるあなたを必死に守ったこの犬に{{c1::ほかならない}}。	ほかならない<br>ほかはない<br>ほかにはない<br>ほかしかたない
彼女を心から愛していたんだ。あきらめろと言われたって{{c1::あきらめきれない}}よ。	あきらめきれない<br>あきらめられる<br>あきらめかねない<br>あきらめざるを得ない
日本で旅行すると、ちょっと乗り物に乗っても、旅館に泊まっても、一万円札がすぐ飛んでいく。{{c1::それにひきかえ}}、外国では何と一万円が使いでがあることだろう。	それにひきかえ<br>ふりかえって<br>それと同様に<br>それにつけても
これほどの作品を作り上げるには、どれほどの苦労があったことか想像にかたくない。しかし彼はインタビューに対して{{c1::こともなげ}}、「大したことありませんよ」と答えた。	こともなげ<br>ことにもせず<br>ものともせず<br>おそれもなし
会社の面接試験では、親の財産や職業のように本人にはどうしようもないことや、プライバシーに関することは、規約によって聞いてはいけない{{c1::ことになっている}}。しかし、この規約はしばしば破られているようだ。	ことになっている<br>わけでもない<br>ものでもない<br>にほかならない
技術が進歩すれば、世の中はますます便利になる{{c1::に相違ない}}。その反面、ある人が一生にかけて習得した技術が無用のものになり、人間が使い捨てられている現実もある。	に相違ない<br>といえたものだ<br>にはあたらない<br>というところだ
世界では何億という人が、食べるものがなくて死にかけているのよ。おいしかろうが、{{c1::まずかろうが}}、おなかいっぱい食べられるだけで感謝しなければいけないわ。	まずかろうが<br>おいしくまいと<br>おいしくあろうが<br>まずくなかろうが
いったん約束をした{{c1::以上}}、つらくても守らなくてはいけないよ。	以上<br>ものの<br>とはいえ<br>だけあって
３年間、厳しい練習に耐えたんだ。明日の試合、負けてなる{{c1::ものか}}！	ものか<br>ことか<br>ことを<br>ものを
あの人は一度も日本に来たことがないのに{{c1::しては}}、きれいな日本語を話すね。	しては<br>しても<br>なっても<br>よらず
あの悲しいできごとを{{c1::忘れよう}}にも忘れられません。	忘れよう<br>忘れる<br>忘れた<br>忘れたい
高校生になっても、そんな子ども{{c1::っぽい}}いたずらをするんじゃない。	っぽい<br>めいた<br>らしい<br>ような
日本人の平均寿命が８０歳を越え、子どもの減少と{{c1::相まって}}、高齢化が急速に進んでいる。	相まって<br>かかわらず<br>したがって<br>いうのは
試験当日は理由の{{c1::いかんによらず}}、遅刻は認めませんから注意してください。	いかんによらず<br>いかんによっては<br>いかんで<br>いかんでも
赤ちゃんの服は、気温に{{c1::応じて}}、時々調整してください。	応じて<br>ついて<br>関して<br>対して
「女の{{c1::くせに}}たばこを吸うな」なんて言われたら、かえって吸いたくなる。	くせに<br>せいで<br>ためには<br>ゆえに
あなたのお母様は、いつこちらに{{c1::お見えに}}になるんですか。	お見えに<br>おうかがい<br>拝見<br>おじゃま
日本の料理に、みそ・しょうゆは欠く{{c1::べからざる}}ものだ。	べからざる<br>べき<br>ほかにはない<br>得ない
個人のプライバシーに{{c1::関する}}情報は、守らなければならない。	関する<br>つけて<br>よる<br>即した
生徒をなぐって大けがをさせるなんて、教師にある{{c1::まじき}}行為だ。	まじき<br>えない<br>べき<br>ざる
楽で、給料が高くて、労働時間が短いなんて、そんないいこと{{c1::ずくめ}}の仕事なんてありませんよ。	ずくめ<br>まみれ<br>ばかりに<br>しか
そのランナーは、足のけがを{{c1::ものとも}}せずに、ゴールに向かって走り続けた。	ものとも<br>ものには<br>こととも<br>ことにも
うちの娘は親の心配を{{c1::よそに}}、いっこうに結婚しようともしない。	よそに<br>そとに<br>ほかに<br>うらに
よほど疲れていたのだろう。横になるか{{c1::ならないか}}のうちに、もう眠っていた。	ならないか<br>なったか<br>なってか<br>ないか
こちらに来る{{c1::ついで}}がありましたので、お借りした本を返しにまいりました。	ついで<br>かたわら<br>つごう<br>がてら
あの男は頭はいいのだが、すぐなまけたがるきらい{{c1::があります}}。	があります<br>です<br>になります<br>にします
その肖像画は、まるで生きている{{c1::かの}}ように見えた。	かの<br>とかの<br>というもの<br>みたいな
社長のお宅に{{c1::うかがった}}おりに、ゴルフクラブをいただきました。	うかがった<br>行かれた<br>まいられた<br>いらっしゃった
私の家は、貧しい{{c1::ながらも}}いつも笑い声が絶えなかった。	ながらも<br>ゆえに<br>からこそ<br>までも
原則として禁止ですが、理由の{{c1::いかんによっては}}、特別に例外を認めましょう。	いかんによっては<br>いかんによらず<br>次第で<br>次第によって
あの人は多才で、絵もかけ{{c1::ば}}、ピアノもひく。しかもプロ並みだ。	ば<br>ると<br>たら<br>るも
３時間も待たされた{{c1::あげく}}、「ここは専門ではありません。他の科に行ってください」だって！	あげく<br>結果<br>とたんに<br>かいなかで
まさか、あの人に限ってそんなことを{{c1::するはずがない}}。	するはずがない<br>しかねない<br>するかもしれない<br>せずにはいられない
あなたの多くの人名を救った勇敢な行為は、いくらほめても{{c1::ほめ足りません}}。	ほめ足りません<br>ほめられません<br>ほめざるをえません<br>しかたがありません
